subgrupo,valor,n,prevalencia,recall,fpr,roc_auc
genero,Feminino,415,0.35903614457831323,0.6845637583892618,0.2556390977443609,0.7960589392945451
genero,Masculino,350,0.4542857142857143,0.8679245283018868,0.47643979057591623,0.8241298692745893
fase_num,0.0,174,0.7586206896551724,0.7575757575757576,0.4523809523809524,0.746933621933622
fase_num,1.0,138,0.4420289855072464,0.8852459016393442,0.8181818181818182,0.6917181179476262
fase_num,2.0,153,0.16339869281045752,0.88,0.484375,0.8003125
fase_num,3.0,94,0.44680851063829785,0.8571428571428571,0.19230769230769232,0.9015567765567766
fase_num,4.0,67,0.373134328358209,0.64,0.0,0.9723809523809523
fase_num,5.0,43,0.4883720930232558,0.5714285714285714,0.09090909090909091,0.8722943722943723
fase_num,6.0,17,0.11764705882352941,0.0,0.13333333333333333,0.6333333333333333
fase_num,7.0,20,0.0,,0.05,
fase_num,8.0,59,0.0,,0.0,
