segmento,modelo,roc_auc_oof,pr_auc_oof,brier_oof
entrada,Dummy prevalencia,0.4968992248062015,0.3161236424394319,0.21668557342880806
entrada,Regressao logistica,0.80671834625323,0.6246880832142127,0.16345766908794956
entrada,Random Forest,0.7994832041343669,0.5987733317088445,0.1731241000223148
permanencia,Dummy prevalencia,0.49869281045751634,0.7440286897501864,0.19020812847152813
permanencia,Regressao logistica,0.8055399937752878,0.9300676654585455,0.1507638264197829
permanencia,Random Forest,0.8150638032990974,0.9273314859658623,0.15430140264314252
